scope	test_name	outcome	multiplicity
coverage	AdvancingTheSentinelDay_FailsLoud	Passed	2
coverage	AdvantageScalars_ConservativeNarrowsRelativeToFree	Passed	1
coverage	AffinityAndArchetypeTables_ShapeAndBounds	Passed	1
coverage	AfterFullTime_GameplayIsFrozen_BallAndAgentsUnchanged_ButTickAdvances	Passed	1
coverage	AfterStop_TheServerRefusesRatherThanActing	Passed	1
coverage	AfterValidPipeline_ControllerReceivesCommand	Passed	1
coverage	AfterValidPipeline_LastActionCarriesCorrectAgentId	Passed	1
coverage	AfterValidPipeline_LastActionHasValidType	Passed	1
coverage	AgeBandRampHalfWidthYears_IsNonNegative	Passed	1
coverage	AgeBandRampHalfWidthYears_LeavesTheTwoRampsDisjoint	Passed	1
coverage	AgeBands_AreStrictlyOrdered	Passed	1
coverage	AgeCurve_AtZeroHalfWidth_IsTheLiteralSection43Step_KD8	Passed	1
coverage	AgeCurve_BeyondTheRepresentabilityCeiling_StillDrains	Passed	1
coverage	AgeCurve_IsContinuousAcrossEveryEdge_AndNeverStepsMoreThanOneDay	Passed	1
coverage	AgeCurve_RedistributesAccrual_WithoutCreatingOrDestroyingAny_P5	Passed	1
coverage	AgeRiskFor_NegativeDials_FailLoud_TTMDAGE008	Passed	1
coverage	AgeRiskFor_WidensTheSubtraction_NoSignInversionAtAnExtremePivot	Passed	1
coverage	AgeTerm_AtZeroSpan_ReproducesThePreFixAssemblyExactly	Passed	1
coverage	AgeTerm_IsInsideTheSum_BeforeTheModifierScalingAndBeforeTheClamp_ERR041021	Passed	1
coverage	AgeTerm_IsZeroAtThePivot_AndLinearEitherSide_ERR041020	Passed	1
coverage	AgeTerm_SaturatesSymmetrically_AndRefusesACorruptAge	Passed	1
coverage	Age_IsDerivedFromBirthDay_IndependentOfCallHistory	Passed	1
coverage	AgentAttributes_ReadCorrectlyFromAgentState	NotExecuted	1
coverage	AgentBehindOpponentWall_IsPerceptionIsolated	NotExecuted	1
coverage	AgentHitsBall_BallCollisionHandlerCalled	NotExecuted	1
coverage	AgentMovementInterface_AgentProperties_FrozenAtInitiating	NotExecuted	1
coverage	Agents_BlendLinearly	Passed	1
coverage	Agents_NonFiniteAlpha_TakesTheNewerFrame	Passed	1
coverage	Agents_NullBuffers_FailLoud	Passed	1
coverage	Agents_RosterLengthChange_SnapsEverySlot	Passed	1
coverage	Agents_ShortDestination_FailsLoud	Passed	1
coverage	Agents_SnapTheSubstitutedSlotOnly	Passed	1
coverage	AggregateValueType_InstanceFieldCount_MatchesFieldsEqualTraversal(TacticalDirector.SeasonSave.BoardObjective,1)	Passed	1
coverage	AggregateValueType_InstanceFieldCount_MatchesFieldsEqualTraversal(TacticalDirector.SeasonSave.BoardState,2)	Passed	1
coverage	AggregateValueType_InstanceFieldCount_MatchesFieldsEqualTraversal(TacticalDirector.SeasonSave.Fixture,4)	Passed	1
coverage	AggregateValueType_InstanceFieldCount_MatchesFieldsEqualTraversal(TacticalDirector.SeasonSave.LeagueTableRow,9)	Passed	1
coverage	AggregateValueType_InstanceFieldCount_MatchesFieldsEqualTraversal(TacticalDirector.SeasonSave.SeasonCalendar,2)	Passed	1
coverage	AiManagerSetup_MatchesExplicitKickoffSelectionBeforeFirstTick	Passed	1
coverage	AiPhase_DrivesChain_GoalkeepersSkipped	Passed	1
coverage	AiPhase_RunsOnStrideTicks_Only	Passed	1
coverage	AimDirection_DistantGroundTarget_LaunchesUpwardNotAlongTheStraightLine	Passed	1
coverage	AimDirection_IsContinuousAcrossTheReachabilityBoundary	Passed	1
coverage	AimDirection_ReachableLevelTarget_MatchesHandDerivedLowAngle	Passed	1
coverage	AimDirection_TargetAboveReach_LaunchesVertically	Passed	1
coverage	AimDirection_UnreachableTarget_FallsBackToTheTrueMaxRangeLaunch	Passed	1
coverage	AimGeometry_MirrorsAboutTheHalfwayLine	Passed	1
coverage	AimNormal_DirectionOppositeTheIncident_IsDegenerate	Passed	1
coverage	AimNormal_IsAlwaysInTheForwardHemisphere_SoNoGeometricBoundIsNeeded	Passed	1
coverage	AimNormal_ReflectsIncidentIntoTheDesiredDirection	Passed	1
coverage	AimWithLaunchAngle_IsUnitVector_WithSinOfLaunchInZ	Passed	1
coverage	AimWithLaunchAngle_PlacementV_DoesNotDriveVertical	Passed	1
coverage	Airborne_BelowExitThreshold_WithDownwardVelocity_TransitionsToBouncing	Passed	1
coverage	Airborne_BelowExitThreshold_WithUpwardVelocity_StaysAirborne	Passed	1
coverage	Airborne_ContactAboveCatchThreshold_TransitionsToHandsOnBall	Passed	1
coverage	Airborne_ContactBelowCatchThreshold_TransitionsToRecovering	Passed	1
coverage	Airborne_FastDescent_Bounces_NoHoverDeadlock	Passed	1
coverage	Airborne_GroundReEntryNoContact_TransitionsToRecovering	Passed	1
coverage	AllFourOutcomesAreReachable	Passed	1
coverage	AllInstructionEnums_AreByteBacked	Passed	1
coverage	AllProfiles_MaxRunnersInAscendingOrder	Passed	1
coverage	AllScoredUtilities_InValidRange	Passed	1
coverage	AllSeededTierARows_HaveStructSizeEqualToSizeofT	Passed	1
coverage	AllSeededTierCRows_StructSizesAboveZero	Passed	1
coverage	AllTargetPositions_WithinPitchBounds	Passed	1
coverage	AllViewModels_AreValueTypes	Passed	1
coverage	AllZeroFatigue_IsDigestIdenticalToTheTwoArgumentOverload	Passed	1
coverage	Alpha_ClampsIntoZeroOne	Passed	1
coverage	Alpha_DegenerateInputs_FailToTheNewerFrame	Passed	1
coverage	Alpha_HalfwayThroughTheInterval_IsAHalf	Passed	1
coverage	Alpha_ScalesWithPlaybackSpeed_SoTheViewKeepsUpAt3x	Passed	1
coverage	AlreadyAdvancedDay_IsANoOp_TTMDDET005	Passed	1
coverage	AlreadyAdvancedDay_IsANoOp_TTRDET003	Passed	1
coverage	AnAppearanceAgesOutOfTheWindowExactly	Passed	1
coverage	AnIndexOffEitherEndIsRefusedRatherThanClamped	Passed	1
coverage	AnInjuredStarter_IsExcludedFromTheRecordedEleven	Passed	1
coverage	AnOversizedRequestLineIsDroppedRatherThanBuffered	Passed	1
coverage	AnalyticsPump_ProducesRealStatistics_NotAnEmptyShell	Passed	1
coverage	AnalyticsPump_SeesEveryTick_WhichTheAggregatorItselfEnforces	Passed	1
coverage	AnchorCalculator_BallRelativeOffset_AM_OutOfPoss_MatchesSpecExample	Passed	1
coverage	AnchorCalculator_ComputeAnchor_442LB_CorrectPosition	Passed	1
coverage	AnchorCalculator_GkSlot_AtCentreBall_ReturnsDepthPlusCentre	Passed	1
coverage	AnchorCalculator_GkSlot_BallInOpponentHalf_ClampedToOwnHalf	Passed	1
coverage	AnchorCalculator_GkSlot_BallLine_TracksTowardNearPost	Passed	1
coverage	AnchorCalculator_GkSlot_CentralBall_IsExactPreFixIdentity	Passed	1
coverage	AnchorCalculator_GkSlot_FarWideBall_BarelyMovesKeeper	Passed	1
coverage	AnchorCalculator_GkSlot_Lateral_ClampedInsideGoalMouth	Passed	1
coverage	AngularSeparation_TargetBehind_IsNormalisedToHalfCircle	Passed	1
coverage	AntiChaos_T_C_001_FourCandidatesInBallThirdOneDemotes	NotExecuted	1
coverage	AntiChaos_T_C_002_BacklineFloorBlocksPrimaryPressPromotion	NotExecuted	1
coverage	AntiChaos_T_C_003_CoverShadowBeyond25mRejectedAndDemoted	NotExecuted	1
coverage	AntiChaos_T_C_004_CascadingViolationsResolveInThreeIterations	NotExecuted	1
coverage	AntiChaos_T_C_005_UnresolvableCascadeTriggersF5Fallback	NotExecuted	1
coverage	AntiChaos_T_C_006_RepeatedF5FallbackDoesNotCorruptHysteresisState	NotExecuted	1
coverage	AntiChaos_T_C_007_BacklineBreachTriggersF5InOneIteration	NotExecuted	1
coverage	AntiChaos_T_DA_EXP_001_OffsideTrapNotSpringEarlyOnRunnerStart	NotExecuted	1
coverage	AntiChaos_T_DA_EXP_002_BallSwitchToUnguardedChannelCoveredWithinLatency	NotExecuted	1
coverage	AntiChaos_T_DA_EXP_003_LastManOneOnOneTackleIntentNotCommit	NotExecuted	1
coverage	AntiChaos_T_DA_EXP_004_GkOutOfPositionCoverAssignedSameTick	NotExecuted	1
coverage	AntiChaos_T_DA_INV_001_MinBacklineAgentsViolationDemotionRestoresBackline	NotExecuted	1
coverage	AntiChaos_T_DA_INV_002_MaxManMarkExceededLowestThreatDemoted	NotExecuted	1
coverage	AntiChaos_T_DA_INV_003_MaxMarkDisplacementExceededOverDisplacedDemoted	NotExecuted	1
coverage	Anticipate_SaveIntentCommitted_TransitionsToDiving	Passed	1
coverage	AnticipationAttribute_ReadCorrectlyForShoulderCheckInterval	NotExecuted	1
coverage	AppearanceWindowDays_SitsInsideTheBitmaskItIsReadThrough	Passed	1
coverage	AppendixB_FitnessWeek_ReproducesTheWorkedExample	Passed	1
coverage	AppliedAgentBallResponse_ReportsDeflection	Passed	1
coverage	AppliedBodyDeflection_ResetsOnlyPostDeflectionThreatenedKeeper_InSameResolve(0)	Passed	1
coverage	AppliedBodyDeflection_ResetsOnlyPostDeflectionThreatenedKeeper_InSameResolve(1)	Passed	1
coverage	ApplyAcceleration_AtTopSpeed_StaysAtTopSpeed	Passed	1
coverage	ApplyAcceleration_FromRest_StrictlyBetweenZeroAndTopSpeed	Passed	1
coverage	ApplyAcceleration_ResultClampedAtMaxSpeedClamp	Passed	1
coverage	ApplyCapturedFrame_AtFullTime_AutoPauses	Passed	1
coverage	ApplyCardAndCheckSentOff_FirstYellow_NotSentOff	Passed	1
coverage	ApplyCardAndCheckSentOff_SecondYellow_PromotesToRed_AndSendsOff	Passed	1
coverage	ApplyCardAndCheckSentOff_StraightRed_SendsOffImmediately	Passed	1
coverage	ApplyCard_Kind0_AddsExactlyOneYellow_NoBan	Passed	1
coverage	ApplyCard_Kind1_StraightRed_AddsBanOnly_NoYellow	Passed	1
coverage	ApplyCard_Kind1_SuccessfulCard_BanLands	Passed	1
coverage	ApplyCard_Kind255_Throws	Passed	1
coverage	ApplyCard_Kind2_SecondYellow_AddsOneYellowAndASecondYellowBan	Passed	1
coverage	ApplyCard_Kind2_SuccessfulCard_YellowAndBanBothLand	Passed	1
coverage	ApplyCard_Kind3_Throws	Passed	1
coverage	ApplyCurve_HighEffectivenessPresser_BendsTowardShadowLane	Passed	1
coverage	ApplyCurve_HigherEffectiveness_BendsMoreThanLowerEffectiveness	Passed	1
coverage	ApplyCurve_LowEffectivenessPresser_BarelyBends	Passed	1
coverage	ApplyCurve_NoCarrier_ReturnsUnchanged	Passed	1
coverage	ApplyCurve_NoEligibleReceiverNearCarrier_ReturnsUnchanged	Passed	1
coverage	ApplyDeceleration_BelowMinVelocity_ReturnsZero	Passed	1
coverage	ApplyDeceleration_HighDemand_CappedAtMaxAcceleration	Passed	1
coverage	ApplyDeceleration_IteratedStop_TerminatesWithinBoundedTime	Passed	1
coverage	ApplyDeceleration_LowSpeed_FlooredAtMinDeceleration	Passed	1
coverage	ApplyDeceleration_NormalDemand_UsesKinematicFormula	Passed	1
coverage	ApplyDefault_IsBehaviourNeutral_DigestUnchanged	Passed	1
coverage	ApplyDirectionalToAccelK_FractionalMult_AppliesSqrtScaling	Passed	1
coverage	ApplyDirectionalToAccelK_NegativeMult_ClampsToZeroWithoutNaN	Passed	1
coverage	ApplyDirectionalToAccelK_UnitMult_ReturnsKBase	Passed	1
coverage	ApplyEvent_NaNGate_FailsClosed	Passed	1
coverage	ApplyIdentity_IsBehaviourNeutral_DigestUnchanged	Passed	1
coverage	ApplyKick_ClearsPossession_PostPass	NotExecuted	1
coverage	ApplyKick_ZeroVelocityWhileElevated_RemainsAirborne	Passed	1
coverage	ApplyKickoff_PreservesHumanBaseline	Passed	1
coverage	ApplyKickoff_RoutesSelectedPresetThroughBootAppliers	Passed	1
coverage	ApplyKickoff_TwoManagers_DecideIndependently	Passed	1
coverage	ApplyResult_AwayOverflow_LeavesHomeRowUntouched	Passed	1
coverage	ApplyResult_AwayWin_UpdatesBothRowsExactly	Passed	1
coverage	ApplyResult_Draw_AwardsDrawPointsToBoth	Passed	1
coverage	ApplyResult_HomeWin_UpdatesBothRowsExactly	Passed	1
coverage	ApplyResult_MatchResultOverload_UpdatesBothRows	Passed	1
coverage	ApplyResult_NegativeGoals_Throws	Passed	1
coverage	ApplyResult_SelfFixture_Throws	Passed	1
